洲別,國別,學位生_正式修讀學位外國生,學位生_僑生(含港澳),學位生_正式修讀學位陸生,非學位生_外國交換生,非學位生_外國短期研習及個人選讀,非學位生_大專附設華語文中心學生,非學位生_大陸研修生,非學位生_海青班,境外專班
大洋洲,索羅門群島,79 ,0 ,0 ,0 ,0 ,37 ,0 ,0 ,0 
大洋洲,吉里巴斯,51 ,0 ,0 ,0 ,0 ,33 ,0 ,0 ,0 
大洋洲,帛琉,35 ,0 ,0 ,0 ,0 ,24 ,0 ,0 ,0 
大洋洲,馬紹爾群島共和國,26 ,0 ,0 ,0 ,0 ,31 ,0 ,0 ,0 
大洋洲,吐瓦魯,29 ,0 ,0 ,0 ,0 ,14 ,0 ,0 ,0 
大洋洲,諾魯,17 ,1 ,0 ,0 ,0 ,15 ,0 ,0 ,0 
大洋洲,巴布亞紐幾內亞,24 ,0 ,0 ,0 ,0 ,8 ,0 ,0 ,0 
大洋洲,斐濟,0 ,3 ,0 ,0 ,0 ,2 ,0 ,0 ,0 
非洲,史瓦濟蘭,206 ,3 ,0 ,0 ,0 ,107 ,0 ,0 ,0 
非洲,布吉納法索,88 ,0 ,0 ,0 ,0 ,81 ,0 ,0 ,0 
非洲,衣索比亞,158 ,0 ,0 ,0 ,2 ,1 ,0 ,0 ,0 
非洲,南非,38 ,54 ,0 ,0 ,5 ,56 ,0 ,0 ,0 
非洲,甘比亞,126 ,0 ,0 ,0 ,1 ,13 ,0 ,0 ,0 
非洲,馬拉威,45 ,2 ,0 ,0 ,0 ,2 ,0 ,0 ,0 
非洲,埃及,17 ,0 ,0 ,0 ,0 ,16 ,0 ,0 ,0 
非洲,奈及利亞,22 ,1 ,0 ,0 ,2 ,4 ,0 ,0 ,0 
非洲,肯亞,17 ,0 ,0 ,0 ,0 ,6 ,0 ,0 ,0 
非洲,摩洛哥,3 ,0 ,0 ,8 ,5 ,6 ,0 ,0 ,0 
非洲,坦尚尼亞,13 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 
非洲,聖多美普林西比,13 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
非洲,蒲隆地,11 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
非洲,烏干達,6 ,0 ,0 ,0 ,0 ,4 ,0 ,0 ,0 
非洲,辛巴威,4 ,0 ,0 ,0 ,0 ,5 ,0 ,0 ,0 
非洲,剛果,3 ,0 ,0 ,1 ,0 ,4 ,0 ,0 ,0 
非洲,突尼西亞,1 ,0 ,0 ,1 ,2 ,4 ,0 ,0 ,0 
非洲,模里西斯,2 ,0 ,0 ,1 ,1 ,3 ,0 ,0 ,0 
非洲,波札那,2 ,0 ,0 ,0 ,0 ,4 ,0 ,0 ,0 
非洲,喀麥隆,4 ,0 ,0 ,1 ,0 ,1 ,0 ,0 ,0 
非洲,查德,0 ,0 ,0 ,0 ,0 ,5 ,0 ,0 ,0 
非洲,莫三比克,4 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 
非洲,貝南,1 ,0 ,0 ,1 ,0 ,2 ,0 ,0 ,0 
非洲,剛果民主共和國,2 ,0 ,0 ,1 ,0 ,1 ,0 ,0 ,0 
非洲,阿爾及利亞,1 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,0 
非洲,迦納,1 ,0 ,0 ,1 ,0 ,1 ,0 ,0 ,0 
非洲,象牙海岸,1 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
非洲,賴比瑞亞,1 ,0 ,0 ,0 ,1 ,1 ,0 ,0 ,0 
非洲,馬達加斯加,0 ,0 ,0 ,1 ,0 ,2 ,0 ,0 ,0 
非洲,盧安達,2 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 
非洲,塞內加爾,1 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,0 
非洲,尚比亞,3 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
非洲,南蘇丹共和國,1 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,0 
非洲,索馬利蘭共和國,1 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,0 
非洲,加彭,0 ,0 ,0 ,0 ,1 ,1 ,0 ,0 ,0 
非洲,索馬利亞民主共和國,1 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 
非洲,蘇丹,1 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 
非洲,幾內亞,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 
非洲,幾內亞比索,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
非洲,賴索托,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 
非洲,馬利,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 
非洲,尼日,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 
非洲,獅子山共和國,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
非洲,納米比亞,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
歐洲,法國,107 ,4 ,0 ,718 ,191 ,839 ,0 ,0 ,0 
歐洲,德國,130 ,0 ,0 ,551 ,131 ,471 ,0 ,0 ,0 
歐洲,英國,67 ,2 ,0 ,26 ,30 ,315 ,0 ,0 ,0 
歐洲,荷蘭,25 ,1 ,0 ,174 ,29 ,127 ,0 ,0 ,0 
歐洲,西班牙,38 ,1 ,0 ,91 ,27 ,179 ,0 ,1 ,0 
歐洲,捷克,29 ,0 ,0 ,111 ,44 ,128 ,0 ,0 ,0 
歐洲,義大利,29 ,3 ,0 ,89 ,25 ,161 ,0 ,0 ,0 
歐洲,波蘭,48 ,0 ,0 ,43 ,20 ,175 ,0 ,0 ,0 
歐洲,瑞典,13 ,1 ,0 ,121 ,39 ,110 ,0 ,0 ,0 
歐洲,比利時,14 ,0 ,0 ,79 ,21 ,91 ,0 ,0 ,0 
歐洲,奧地利,29 ,0 ,0 ,61 ,21 ,90 ,0 ,0 ,0 
歐洲,芬蘭,9 ,0 ,0 ,65 ,4 ,47 ,0 ,0 ,0 
歐洲,瑞士,9 ,2 ,0 ,25 ,8 ,70 ,0 ,0 ,0 
歐洲,丹麥,4 ,0 ,0 ,31 ,10 ,35 ,0 ,0 ,0 
歐洲,烏克蘭,33 ,0 ,0 ,4 ,0 ,36 ,0 ,0 ,0 
歐洲,斯洛伐克,17 ,0 ,0 ,12 ,8 ,34 ,0 ,0 ,0 
歐洲,匈牙利,32 ,2 ,0 ,0 ,3 ,33 ,0 ,0 ,0 
歐洲,葡萄牙,22 ,1 ,0 ,11 ,5 ,22 ,0 ,0 ,0 
歐洲,愛爾蘭,7 ,0 ,0 ,4 ,1 ,32 ,0 ,0 ,0 
歐洲,挪威,2 ,0 ,0 ,17 ,4 ,18 ,0 ,0 ,0 
歐洲,斯洛維尼亞,3 ,0 ,0 ,2 ,10 ,15 ,0 ,0 ,0 
歐洲,立陶宛,2 ,0 ,0 ,5 ,2 ,14 ,0 ,0 ,0 
歐洲,羅馬尼亞,4 ,0 ,0 ,1 ,0 ,14 ,0 ,0 ,0 
歐洲,希臘,2 ,0 ,0 ,1 ,5 ,9 ,0 ,0 ,0 
歐洲,白俄羅斯,14 ,0 ,0 ,0 ,0 ,3 ,0 ,0 ,0 
歐洲,克羅埃西亞,7 ,0 ,0 ,2 ,0 ,5 ,0 ,0 ,0 
歐洲,盧森堡,1 ,0 ,0 ,3 ,2 ,5 ,0 ,0 ,0 
歐洲,保加利亞,3 ,0 ,0 ,1 ,1 ,3 ,0 ,0 ,0 
歐洲,冰島,1 ,0 ,0 ,3 ,0 ,4 ,0 ,0 ,0 
歐洲,愛沙尼亞,0 ,0 ,0 ,2 ,0 ,6 ,0 ,0 ,0 
歐洲,拉脫維亞,4 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,0 
歐洲,塞爾維亞共和國,5 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 
歐洲,科索沃共和國,2 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,0 
歐洲,阿爾巴尼亞,1 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 
歐洲,波士尼亞與赫塞哥維納,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
歐洲,安道爾,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 
歐洲,馬爾他,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
歐洲,馬其頓,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
美洲,美國,430 ,216 ,0 ,131 ,471 ,"2,618 ",0 ,2 ,0 
美洲,加拿大,74 ,146 ,0 ,48 ,44 ,279 ,0 ,0 ,0 
美洲,宏都拉斯,181 ,0 ,0 ,0 ,0 ,155 ,0 ,0 ,0 
美洲,巴西,48 ,29 ,0 ,11 ,2 ,147 ,0 ,0 ,0 
美洲,貝里斯,122 ,18 ,0 ,0 ,0 ,88 ,0 ,1 ,0 
美洲,墨西哥,48 ,10 ,0 ,23 ,12 ,123 ,0 ,0 ,0 
美洲,薩爾瓦多,100 ,3 ,0 ,0 ,0 ,92 ,0 ,0 ,0 
美洲,巴拉圭,76 ,33 ,0 ,0 ,0 ,80 ,0 ,0 ,0 
美洲,海地,118 ,0 ,0 ,0 ,0 ,45 ,0 ,0 ,0 
美洲,巴拿馬,92 ,1 ,0 ,0 ,0 ,70 ,0 ,0 ,0 
美洲,尼加拉瓜,80 ,9 ,0 ,0 ,0 ,63 ,0 ,0 ,0 
美洲,瓜地馬拉,63 ,4 ,0 ,0 ,6 ,73 ,0 ,0 ,0 
美洲,聖露西亞,72 ,0 ,0 ,0 ,0 ,46 ,0 ,0 ,0 
美洲,聖文森,57 ,0 ,0 ,0 ,1 ,59 ,0 ,0 ,0 
美洲,多明尼加,37 ,15 ,0 ,0 ,0 ,39 ,0 ,0 ,0 
美洲,聖克里斯多福,52 ,0 ,0 ,0 ,0 ,32 ,0 ,0 ,0 
美洲,哥倫比亞,29 ,0 ,0 ,4 ,1 ,44 ,0 ,0 ,0 
美洲,厄瓜多,35 ,16 ,0 ,1 ,1 ,21 ,0 ,0 ,0 
美洲,秘魯,23 ,2 ,0 ,0 ,1 ,39 ,0 ,0 ,0 
美洲,阿根廷,7 ,18 ,0 ,1 ,0 ,37 ,0 ,0 ,0 
美洲,智利,5 ,8 ,0 ,1 ,3 ,26 ,0 ,0 ,0 
美洲,哥斯大黎加,4 ,9 ,0 ,0 ,1 ,6 ,0 ,0 ,0 
美洲,委內瑞拉,3 ,6 ,0 ,0 ,1 ,10 ,0 ,0 ,0 
美洲,玻利維亞,4 ,5 ,0 ,0 ,0 ,7 ,0 ,0 ,0 
美洲,巴哈馬,0 ,0 ,0 ,0 ,0 ,4 ,0 ,0 ,0 
美洲,烏拉圭,3 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 
美洲,牙買加,1 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 
美洲,千里達,0 ,0 ,0 ,0 ,1 ,1 ,0 ,0 ,0 
美洲,蓋亞那,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
美洲,巴貝多,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
美洲,古巴,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 
美洲,多米尼克,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
